"warehouse_code","location_id","owner","product_code","description","expiry_date","pallet_id","quantity_on_hand","age","balance_shelve_life_to_expire","product_group"
"TGIC",3305082,"KEG Asia Private Limited",68534472,"DOVE HW DEEP NOURISHING 24X250ML","9/11/2023","UINT0000028726",1584,1080,1003,"HPC"
"TGIC",3305091,"KEG Asia Private Limited",68534472,"DOVE HW DEEP NOURISHING 24X250ML","9/11/2023","UINT0000028723",1584,720,338,"FOODS"
"TGIC",3305092,"KEG Asia Private Limited",68534472,"DOVE HW DEEP NOURISHING 24X250ML","9/11/2023","UINT0000028724",1584,1080,1003,"HPC"
"TGIC",3305101,"KEG Asia Private Limited",21018909,"DOMEX CLSSIC ORIGINAL GKILL 24X500ML","3/21/2022","SYS15645982",0,900,139,"HPC"
"TGIC",3305102,"KEG Asia Private Limited",21018909,"DOMEX CLSSIC ORIGINAL GKILL 24X500ML","3/21/2022","SYS15645983",0,900,26,"HPC"
"TGIC",3305111,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","2/8/2022","SYS15681180",5880,720,61,"HPC"
"TGIC",3305112,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","2/8/2022","SYS15681179",5880,720,153,"HPC"
"TGIC",3305121,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","1/3/2022","SYS15681222",5880,1095,172,"HPC"
"TGIC",3305122,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","1/2/2022","SYS15681221",5880,720,159,"HPC"
"TGIC",3305131,"KEG Asia Private Limited",68411500,"DOVE 2020UI SAKURA BODYWASH 12X1000ML","5/12/2024","UINT0000032433",0,730,314,"HPC"
"TGIC",3305132,"KEG Asia Private Limited",68411500,"DOVE 2020UI SAKURA BODYWASH 12X1000ML","5/12/2024","UINT0000032432",0,730,314,"HPC"
"TGIC",3305142,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","12/29/2021","SYS15681247",4920,1095,82,"HPC"
"TGIC",3305151,"KEG Asia Private Limited",67095035,"DOVE DEEP PURE FC FOAM 4X6X100G","7/3/2023","SYS15592409",4200,912,431,"HPC"
"TGIC",3305152,"KEG Asia Private Limited",67095035,"DOVE DEEP PURE FC FOAM 4X6X100G","7/3/2023","SYS15592408",4200,912,431,"HPC"
"TGIC",3305161,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","1/2/2022","SYS15683754",5880,720,153,"HPC"
"TGIC",3305162,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","1/1/2022","SYS15683753",5880,720,61,"HPC"
"TGIC",3305171,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","12/30/2021","SYS15683766",5880,1080,528,"HPC"
"TGIC",3305172,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","1/7/2022","SYS15683765",5880,730,76,"FOODS"
"TGIC",3305181,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","2/15/2022","SYS15683779",6120,1080,528,"HPC"
"TGIC",3305182,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","2/16/2022","SYS15683764",5880,720,61,"HPC"
"TGIC",3305182,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","2/16/2022","SYS15683763",240,1080,443,"HPC"
"TGIC",3305191,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","1/3/2022","SYS15681263",4200,1095,549,"HPC"
"TGIC",3305192,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","9/7/2021","SYS15681262",0,1095,82,"HPC"
"TGIC",3305201,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","8/5/2021","SYS15683814",0,720,114,"HPC"
"TGIC",3305211,"KEG Asia Private Limited",68411484,"DOVE BW 2020UI OXYGEN MOISTURE 12X1000ML","7/15/2024","UINT0000037235",0,912,800,"HPC"
"TGIC",3305211,"KEG Asia Private Limited",68411484,"DOVE BW 2020UI OXYGEN MOISTURE 12X1000ML","7/15/2024","UINT0000037235",0,720,336,"HPC"
"TGIC",3305212,"KEG Asia Private Limited",68411484,"DOVE BW 2020UI OXYGEN MOISTURE 12X1000ML","7/15/2024","UINT0000037236",0,913,747,"HPC"
"TGIC",3305221,"KEG Asia Private Limited",68534472,"DOVE HW DEEP NOURISHING 24X250ML","9/11/2023","UINT0000027663",1584,1080,1003,"HPC"
"TGIC",3305222,"KEG Asia Private Limited",68534472,"DOVE HW DEEP NOURISHING 24X250ML","9/11/2023","UINT0000027661",1584,720,607,"HPC"
"TGIC",3305241,"KEG Asia Private Limited",68534472,"DOVE HW DEEP NOURISHING 24X250ML","9/11/2023","UINT0000027672",1584,900,811,"HPC"
"TGIC",3305242,"KEG Asia Private Limited",68534472,"DOVE HW DEEP NOURISHING 24X250ML","9/11/2023","UINT0000027670",1584,1080,1003,"HPC"
"TGIC",3305261,"KEG Asia Private Limited",68534472,"DOVE HW DEEP NOURISHING 24X250ML","9/11/2023","UINT0000027669",1584,900,765,"HPC"
"TGIC",3305262,"KEG Asia Private Limited",68534472,"DOVE HW DEEP NOURISHING 24X250ML","9/11/2023","UINT0000027666",1584,730,301,"HPC"
"TGIC",3305271,"KEG Asia Private Limited",21069018,"DOVE BEAUTY CREAM PANTHER UA120X75ML","1/2/2022","SYS15681068",5880,1095,306,"HPC"
"TGIC",3305272,"KEG Asia Private Limited",21069018,"DOVE BEAUTY CREAM PANTHER UA120X75ML","1/2/2022","SYS15681069",5880,720,-107,"HPC"
"TGIC",3305281,"KEG Asia Private Limited",21069018,"DOVE BEAUTY CREAM PANTHER UA120X75ML","1/2/2022","SYS15681080",5880,720,19,"HPC"
"TGIC",3305282,"KEG Asia Private Limited",21069018,"DOVE BEAUTY CREAM PANTHER UA120X75ML","1/2/2022","SYS15681079",5880,1095,292,"HPC"
"TGIC",3305291,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","2/6/2022","SYS15683340",4320,720,153,"HPC"
"TGIC",3305292,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","10/16/2021","SYS15683339",4320,1080,284,"HPC"
"TGIC",3305301,"KEG Asia Private Limited",68534471,"DOVE HW SHEA BUTTER VAN 24X250ML","8/6/2023","UINT0000028686",1584,720,606,"HPC"
"TGIC",3305302,"KEG Asia Private Limited",68534471,"DOVE HW SHEA BUTTER VAN 24X250ML","8/6/2023","UINT0000028685",1584,720,591,"HPC"
"TGIC",3305311,"KEG Asia Private Limited",67432099,"DOVE CREAM ESS CARE BEAUTY 24X250ML","8/15/2021","SYS15568473",0,1095,623,"HPC"
"TGIC",3305321,"KEG Asia Private Limited",67775600,"CAMAY CLASSIC RL 24X3X125G","9/1/2023","UNIT0000020136",1248,730,360,"HPC"
"TGIC",3305331,"KEG Asia Private Limited",67432099,"DOVE CREAM ESS CARE BEAUTY 24X250ML","8/18/2021","SYS15747872",0,1095,241,"HPC"
"TGIC",3305332,"KEG Asia Private Limited",67432099,"DOVE CREAM ESS CARE BEAUTY 24X250ML","9/12/2021","SYS15747873",0,900,510,"HPC"
"TGIC",3305341,"KEG Asia Private Limited",21069220,"DOVE INTSV NOURISHING CRM ARB 120X75ML (ARABIC WORD)","2/6/2022","SYS15683351",4320,720,61,"HPC"
"TGIC",3305361,"KEG Asia Private Limited",32473634,"DOMESTOS RIM BLOCK OCEAN 9X55G","2/17/2023","UINT0000019810",0,1095,587,"HPC"
